#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  |VxB0|_(V/m)
      0.000000000    0.0000000   6943.246      0.000      0.000     -0.000      0.000   7595.750   0.005000000    90.0000000      6978.1363       0.00000       0.00000    0.0000000   8.28717e+11     8.5407e-13   2.9292e+13  -7186.02   3054.79  22957.19    0.06484963
      0.006944444    0.0000000   5508.087      0.000   4239.025  -4609.560      0.000   6027.341   0.004999999    90.0000000      6978.1363     360.00000       0.00000   37.5818884   3.37890e+11     5.0766e-13   1.7735e+13 -39119.01   2300.78  -9588.04    0.28139279
      0.013888889    0.0000000   1801.359      0.000   6732.120  -7301.109      0.000   1991.397   0.004999997    90.0000000      6978.1363     359.99999       0.00000   75.0199202   2.70742e+11     1.8889e-13   6.0484e+12 -13049.62    452.42 -42732.04    0.33804834
      0.020833333    0.0000000  -2645.121      0.000   6471.479  -6996.119     -0.000  -2821.770   0.004999997    90.0000000      6978.1362     359.99997       0.00000  112.2315862   7.11413e+10     8.4900e-14   2.0620e+12  23096.42  -1937.22 -37254.16    0.32617980
      0.027777778    0.0000000  -6021.403      0.000   3585.489  -3866.826     -0.000  -6456.086   0.004999998    90.0000000      6978.1362     359.99996       0.00000  149.2280504   5.08525e+10     7.5643e-14   2.0058e+12  33772.58   -417.59   7638.12    0.18896715
      0.034722222    0.0000000  -6973.039     -0.000   -745.969    803.957     -0.000  -7477.290   0.004999999    90.0000000      6978.1362     359.99995       0.00000  186.1062790   1.53716e+11     7.2598e-14   2.3701e+12 -17009.17   3061.02  22336.39    0.11500567
      0.041666667    0.0000000  -5121.336     -0.000  -4777.226   5155.384     -0.000  -5488.944   0.005000001    90.0000000      6978.1362     359.99995       0.00000  223.0090364   1.56366e+11     1.3263e-13   4.6224e+12 -29484.47   9061.14 -14060.33    0.24539624
      0.048611111    0.0000000  -1204.397     -0.000  -6879.350   7444.728     -0.000  -1265.590   0.005000002    90.0000000      6978.1362     359.99996       0.00000  260.0696640   4.33797e+11     2.7261e-13   9.3007e+12  -9133.06  11464.86 -37696.99    0.30484491
      0.055555556    0.0000000   3199.563     -0.000  -6183.182   6712.509      0.000   3511.260   0.005000002    90.0000000      6978.1361     359.99998       0.00000  297.3598768   2.84777e+11     5.3919e-13   1.8528e+13  26774.37   9587.43 -27249.74    0.28708588
      0.062500000    0.0000000   6288.427     -0.000  -2951.240   3211.012      0.000   6879.732   0.005000001    90.0000000      6978.1361     360.00000       0.00000  334.8587332   5.31868e+11     8.8077e-13   3.0418e+13  23324.17   5552.03  12256.92    0.13191049
      0.069444444    0.0000000   6780.558      0.000   1497.995  -1630.427      0.000   7417.795   0.005000000    90.0000000      6978.1361       0.00000       0.00000   12.4579551   5.16747e+11     7.4228e-13   2.5607e+13 -18967.87   4026.26  19261.71    0.11726518
      0.076388889    0.0000000   4470.404      0.000   5328.789  -5790.258      0.000   4895.328   0.004999998    90.0000000      6978.1361     360.00000       0.00000   50.0061864   2.99514e+11     3.8858e-13   1.3396e+13 -35468.74   4510.91 -22074.77    0.30416029
      0.083333333    0.0000000    319.628      0.000   6969.038  -7550.024      0.000    384.064   0.004999997    90.0000000      6978.1360     359.99999       0.00000   87.3740433   3.02319e+11     1.2928e-13   3.8063e+12  -1267.87    283.66 -43836.29    0.33146036
      0.090277778    0.0000000  -3964.434      0.000   5766.476  -6228.086     -0.000  -4244.000   0.004999997    90.0000000      6978.1360     359.99997       0.00000  124.5084326   4.45512e+10     8.1137e-14   1.8993e+12  32115.30  -1779.52 -23906.36    0.28556034
      0.097222222    0.0000000  -6647.004      0.000   2230.295  -2404.224     -0.000  -7127.577   0.004999998    90.0000000      6978.1360     359.99996       0.00000  161.4516933   6.26294e+10     7.2582e-14   2.1182e+12  19295.62   -381.79  20750.68    0.08835187
      0.104166667    0.0000000  -6655.825     -0.000  -2203.971   2375.831     -0.000  -7137.041   0.005000000    90.0000000      6978.1360     359.99995       0.00000  198.3215183   1.03752e+11     8.6141e-14   2.8964e+12 -22866.04   3129.16   8387.17    0.14685612
      0.111111111    0.0000000  -3987.390     -0.000  -5750.766   6211.016     -0.000  -4268.722   0.005000001    90.0000000      6978.1360     359.99996       0.00000  235.2638914   1.94595e+11     1.6014e-13   5.5858e+12 -22633.22   8587.83 -16164.37    0.20838800
      0.118055556    0.0000000    291.759     -0.000  -6970.399   7551.349      0.000    353.866   0.005000002    90.0000000      6978.1359     359.99997       0.00000  272.3968498   3.66852e+11     3.6036e-13   1.2049e+13  -1346.69  10518.14 -41225.39    0.32082364
      0.125000000    0.0000000   4448.997     -0.000  -5346.814   5809.755      0.000   4871.993   0.005000002    90.0000000      6978.1359     359.99999       0.00000  309.7633062   2.58648e+11     6.5428e-13   2.2570e+13  34169.94   7990.91 -19115.63    0.28531251
      0.131944444    0.0000000   6774.485     -0.000  -1525.360   1660.205      0.000   7411.153   0.005000001    90.0000000      6978.1359       0.00000       0.00000  347.3107514   9.84176e+11     9.2820e-13   3.1820e+13  15145.77   4950.70  21212.38    0.09167992
      0.138888889    0.0000000   6300.227      0.000   2925.824  -3183.386      0.000   6892.629   0.004999999    90.0000000      6978.1359       0.00001       0.00000   24.9101396   3.08140e+11     6.1602e-13   2.1461e+13 -27304.16   4177.36  10196.78    0.16137732
      0.145833333    0.0000000   3224.311      0.000   6170.173  -6698.506      0.000   3538.189   0.004999998    90.0000000      6978.1359     360.00000       0.00000   62.4100433   2.82693e+11     2.6896e-13   8.9239e+12 -28126.99   3749.50 -31765.19    0.31395913
      0.152777778    0.0000000  -1176.911      0.000   6883.966  -7449.870     -0.000  -1235.870   0.004999998    90.0000000      6978.1358     359.99998       0.00000   99.7017394   2.44037e+11     1.0372e-13   2.7976e+12  11891.32   -220.90 -41007.38    0.32021882
      0.159722222    0.0000000  -5102.269      0.000   4797.446  -5177.275     -0.000  -5468.442   0.004999998    90.0000000      6978.1358     359.99997       0.00000  136.7636771   4.93713e+10     7.8117e-14   1.9015e+12  34339.99   -539.83  -7849.89    0.22872069
      0.166666667    0.0000000  -6970.016      0.000    773.560   -833.693     -0.000  -7474.049   0.004999999    90.0000000      6978.1358     359.99996       0.00000  173.6670537   1.18613e+11     6.8529e-14   2.1167e+12   -992.21    689.82  24091.12    0.03254310
      0.173611111    0.0000000  -6035.626     -0.000  -3561.633   3841.060     -0.000  -6471.360   0.005000001    90.0000000      6978.1358     359.99995       0.00000  210.5449734   8.72358e+10     1.0888e-13   3.7534e+12 -21357.46   3293.63  -1736.66    0.14798462
      0.180555556    0.0000000  -2670.919     -0.000  -6461.013   6984.677     -0.000  -2849.606   0.005000002    90.0000000      6978.1358     359.99996       0.00000  247.5403205   3.12352e+11     1.9951e-13   6.8945e+12 -20924.53   6667.38 -20959.22    0.21267744
      0.187500000    0.0000000   1774.400     -0.000  -6739.415   7308.879      0.000   1962.123   0.005000002    90.0000000      6978.1357     359.99998       0.00000  284.7504998   3.61050e+11     4.7942e-13   1.5736e+13  10739.41   8084.52 -44385.85    0.35088238
      0.194444444    0.0000000   5491.031     -0.000  -4261.234   4633.653      0.000   6008.722   0.005000002    90.0000000      6978.1357     360.00000       0.00000  322.1872805   3.26748e+11     7.7531e-13   2.6855e+13  38176.69   6680.21  -7016.04    0.26856076
      0.201388889    0.0000000   6943.189     -0.000    -28.031     30.512      0.000   7595.689   0.005000001    90.0000000      6978.1357       0.00001       0.00000  359.7686828   9.61809e+11     8.6064e-13   2.9427e+13   1829.62   4514.63  25525.46    0.04901553
      0.208333333    0.0000000   5525.052      0.000   4216.748  -4585.392      0.000   6045.864   0.004999999    90.0000000      6978.1357       0.00001       0.00000   37.3510507   1.84152e+11     4.9195e-13   1.7153e+13 -31965.91   2913.25     19.58    0.19574019
      0.215277778    0.0000000   1828.287      0.000   6724.717  -7293.222      0.000   2020.639   0.004999998    90.0000000      6978.1356     360.00000       0.00000   74.7903119   2.49026e+11     1.7803e-13   5.4612e+12 -17267.73   1246.06 -40368.54    0.32951793
      0.222222222    0.0000000  -2619.283      0.000   6481.839  -7007.450     -0.000  -2793.891   0.004999998    90.0000000      6978.1356     359.99998       0.00000  112.0034411   7.57636e+10     9.1555e-14   2.3613e+12  22998.43   1283.29 -33200.68    0.29722158
      0.229166667    0.0000000  -6007.087      0.000   3609.283  -3892.528     -0.000  -6440.713   0.004999998    90.0000000      6978.1356     359.99996       0.00000  149.0010098   5.24717e+10     7.5303e-14   1.9739e+12  28727.87   1462.22   8199.73    0.15474500
      0.236111111    0.0000000  -6975.950     -0.000   -718.373    774.213     -0.000  -7480.413   0.005000000    90.0000000      6978.1356     359.99996       0.00000  185.8795541   1.55515e+11     7.0924e-14   2.2866e+12 -13988.03   3677.33  16163.81    0.09930951
      0.243055556    0.0000000  -5140.318     -0.000  -4756.934   5133.417     -0.000  -5509.354   0.005000001    90.0000000      6978.1356     359.99996       0.00000  222.7817192   1.51289e+11     1.3152e-13   4.6071e+12 -19799.44   3622.32  -5586.56    0.14132877
      0.250000000    0.0000000  -1231.856     -0.000  -6874.625   7439.469     -0.000  -1295.280   0.005000002    90.0000000      6978.1355     359.99997       0.00000  259.8410765   4.24028e+11     2.6884e-13   8.9846e+12 -18554.13   3685.66 -30940.16    0.25587748
      0.256944444    0.0000000   3174.770     -0.000  -6196.087   6726.400      0.000   3484.283   0.005000002    90.0000000      6978.1355     359.99999       0.00000  297.1298455   3.95347e+11     5.8873e-13   1.9566e+13  25267.29   5292.19 -41482.46    0.36950428
      0.263888889    0.0000000   6276.528     -0.000  -2976.599   3238.576      0.000   6866.728   0.005000002    90.0000000      6978.1355       0.00000       0.00000  334.6276807   4.10843e+11     8.9054e-13   3.0654e+13  37228.01   5150.02   6929.94    0.23874706
      0.270833333    0.0000000   6786.518      0.000   1470.614  -1600.634      0.000   7424.315   0.005000000    90.0000000      6978.1355       0.00001       0.00000   12.2267409   8.61680e+11     7.2647e-13   2.5028e+13 -10814.17   2855.06  23933.15    0.05433627
      0.277777778    0.0000000   4491.731      0.000   5310.684  -5770.675      0.000   4918.577   0.004999999    90.0000000      6978.1355       0.00001       0.00000   49.7757418   1.57051e+11     3.6880e-13   1.2663e+13 -35243.44   -879.04 -14544.42    0.25752047
      0.284722222    0.0000000    347.480      0.000   6967.564  -7548.580      0.000    414.245   0.004999998    90.0000000      6978.1354     359.99999       0.00000   87.1449716   2.38475e+11     1.2959e-13   3.6288e+12  -2774.80   1057.14 -43880.02    0.33247941
      0.291666667    0.0000000  -3941.425      0.000   5782.087  -6245.050     -0.000  -4219.219   0.004999998    90.0000000      6978.1354     359.99998       0.00000  124.2807669   4.69267e+10     8.2517e-14   2.0759e+12  30659.25   3466.19 -23172.37    0.27587294
      0.298611111    0.0000000  -6638.081      0.000   2256.573  -2432.566     -0.000  -7118.005   0.004999999    90.0000000      6978.1354     359.99996       0.00000  161.2249050   6.52453e+10     7.1611e-14   2.0377e+12  17787.37   5115.66  17190.91    0.09815424
      0.305555556    0.0000000  -6664.537     -0.000  -2177.624   2347.416     -0.000  -7146.388   0.005000000    90.0000000      6978.1354     359.99996       0.00000  198.0947406   1.79948e+11     8.4684e-14   2.8346e+12 -15384.31   5502.04   9730.61    0.09971268
      0.312500000    0.0000000  -4010.270     -0.000  -5734.972   6193.859     -0.000  -4293.364   0.005000002    90.0000000      6978.1353     359.99996       0.00000  235.0362554   2.64933e+11     1.5780e-13   5.5693e+12 -21847.23   1835.67  -9130.73    0.15148736
      0.319444444    0.0000000    263.900     -0.000  -6971.648   7552.552      0.000    323.679   0.005000003    90.0000000      6978.1353     359.99998       0.00000  272.1678212   3.86495e+11     3.8038e-13   1.2111e+13  -8984.16   -657.04 -41984.11    0.31422279
      0.326388889    0.0000000   4427.530     -0.000  -5364.742   5829.146      0.000   4848.593   0.005000003    90.0000000      6978.1353     360.00000       0.00000  309.5329107   3.62380e+11     6.6855e-13   2.2785e+13  37528.70   2212.66 -31862.02    0.36853993
      0.333333333    0.0000000   6768.306     -0.000  -1552.686   1689.939      0.000   7404.396   0.005000002    90.0000000      6978.1353       0.00001       0.00000  347.0795861   4.94202e+11     9.3179e-13   3.1741e+13  28260.58   2427.01  20604.10    0.17760756
      0.340277778    0.0000000   6311.918      0.000   2900.375  -3155.724      0.000   6905.408   0.005000000    90.0000000      6978.1353       0.00001       0.00000   24.6791341   4.88525e+11     5.9512e-13   2.0637e+13 -26826.93  -1029.01  16635.82    0.13306554
      0.347222222    0.0000000   3248.994      0.000   6157.071  -6684.402      0.000   3565.048   0.004999999    90.0000000      6978.1352       0.00001       0.00000   62.1800601   2.26712e+11     2.5678e-13   8.4345e+12 -29707.19  -2072.69 -32891.11    0.32618974
