#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  I_b_ave_(A)  |VxB0|_(V/m)    V_anode  V_cathode  T_temp_C_(ohm)  T_resist_(ohm)
      0.000000000    4.1226673   6943.246      0.000      0.000     -0.000   3797.875   6578.112   0.005000000    60.0000000      6978.1363       0.00000       0.00000    0.0000000   8.28717e+11     8.5407e-13   2.9292e+13  -7205.42   3067.49  23034.94    2.4857659    0.07684526   100.1233     0.0000        20.00000         4.48830
      0.006944444    1.5820659   5508.088   2119.488   3671.105  -4609.555   3013.610   5219.834   0.004992440    60.0004372      6978.0805     359.97775       0.00012   37.6039998   2.50926e+11     4.1908e-13   1.4626e+13 -34936.77 -15054.50  -2919.22    0.9504524    0.26128449   156.2878     0.0000        20.00000         4.48830
      0.013888889    1.1192754   1801.365   3365.995   5830.184  -7301.100    995.631   1724.571   0.004988132    60.0005196      6978.0276     359.90803       0.00023   75.1116458   1.72092e+11     1.4723e-13   4.7320e+12 -10388.48 -28942.80 -27037.67    0.6721793    0.29950474   165.8148     0.0000        20.00000         4.48830
      0.020833333    0.4728996  -2645.107   3235.635   5604.420  -6996.091  -1410.951  -2443.846   0.004988120    60.0005227      6978.0055     359.87229       0.00021  112.3593447   7.11982e+10     1.0648e-13   3.0767e+12  20094.17 -25446.45 -19928.55    0.2838660    0.27173713   172.2974     0.0000        20.00000         4.48830
      0.027777778    0.3295287  -6021.335   1792.600   3104.973  -3866.639  -3228.107  -5591.355   0.004989639    60.0005678      6977.9888     359.85153       0.00016  149.3775433   4.73520e+10     8.1935e-14   2.3807e+12  27669.70  -8761.76  13046.35    0.1977885    0.17492306   188.9893     0.0000        20.00000         4.48830
      0.034722222    0.8505881  -6972.772   -373.148   -646.302    804.437  -3738.618  -6475.663   0.004992177    60.0007047      6977.9706     359.84605       0.00013  186.2629290   1.52973e+11     7.4143e-14   2.4172e+12 -16609.12   2090.14  23407.60    0.5108378    0.12060497   121.2244     0.0000        20.00000         4.48830
      0.041666667    0.5270419  -5120.716  -2388.697  -4137.455   5156.033  -2744.221  -4753.320   0.004993769    60.0008326      6977.9587     359.85214       0.00019  223.1617934   1.73669e+11     1.8369e-13   6.3976e+12 -37482.33 -10792.15 -12268.39    0.3167913    0.27945202    36.3542     0.0000        20.00000         4.48830
      0.048611111    1.1823756  -1203.445  -3439.531  -5957.641   7445.088   -632.295  -1095.263   0.004994113    60.0008657      6977.9533     359.85994       0.00025  260.2170873   3.64881e+11     4.7456e-13   1.6032e+13  -9723.02 -26996.00 -40545.06    0.7118144    0.36231366    41.9707     0.0000        20.00000         4.48830
      0.055555556    1.0938258   3200.513  -3091.118  -5354.180   6712.083   1756.175   3041.859   0.004993775    60.0008884      6977.9388     359.88319       0.00016  297.4864326   2.56661e+11     6.7575e-13   2.3293e+13  30864.89 -19426.03 -22678.29    0.6575145    0.29768048    71.7392     0.0000        20.00000         4.48830
      0.062500000    2.9685066   6288.853  -1474.896  -2554.698   3209.732   3440.092   5958.692   0.004990945    60.0011296      6977.9122     359.91119     359.99993  334.9592122   6.59407e+11     1.0018e-12   3.4456e+13  23392.59    209.39  14931.57    1.7888212    0.12372693    81.6205     0.0000        20.00000         4.48830
      0.069444444    2.5715290   6780.074    749.670   1298.617  -1632.058   3708.481   6423.822   0.004978305    60.0021369      6977.8216     359.92793     359.99981   12.5428728   5.18631e+11     7.0944e-13   2.4504e+13 -18250.77   1895.94  20144.08    1.5476929    0.11474453    98.0762     0.0000        20.00000         4.48830
      0.076388889    1.2052917   4469.026   2664.661   4615.778  -5791.490   2446.768   4238.326   0.004974465    60.0023868      6977.7907     359.90504     359.99995   50.1147534   2.19278e+11     2.8424e-13   9.7733e+12 -34281.85 -19065.17 -15484.37    0.7240928    0.29715338   118.7836     0.0000        20.00000         4.48830
      0.083333333    0.9569148    317.793   3484.171   6035.348  -7550.225    190.933    330.739   0.004972914    60.0024163      6977.7620     359.86215       0.00001   87.5268608   1.62221e+11     1.2781e-13   4.0011e+12   1774.62 -28451.15 -30280.54    0.5746439    0.30255259   136.3940     0.0000        20.00000         4.48830
      0.090277778    0.4587147  -3965.969   2882.255   4992.696  -6226.840  -2122.953  -3677.430   0.004973453    60.0024292      6977.7448     359.83489     359.99996  124.6910704   6.98447e+10     9.4532e-14   2.6364e+12  27590.29 -19889.24 -10322.38    0.2753414    0.24224377   168.4393     0.0000        20.00000         4.48830
      0.097222222    0.5074906  -6647.332   1113.743   1929.234  -2401.492  -3564.163  -6173.940   0.004975203    60.0024954      6977.7291     359.81925     359.99990  161.6538967   7.47036e+10     7.5917e-14   2.3022e+12  14548.97  -2839.86  22598.27    0.3046311    0.10784043   180.2496     0.0000        20.00000         4.48830
      0.104166667    0.5462753  -6654.224  -1103.328  -1911.243   2379.334  -3567.882  -6180.403   0.004977932    60.0026423      6977.7099     359.81802     359.99990  198.5299413   1.27799e+11     9.5839e-14   3.2243e+12 -23506.63   -177.54  11719.53    0.3280926    0.14387447    71.6736     0.0000        20.00000         4.48830
      0.111111111   -0.0019151  -3983.833  -2876.000  -4981.925   6213.721  -2132.612  -3694.178   0.004978283    60.0026835      6977.7071     359.81995     359.99993  235.4758308   2.59933e+11     2.5060e-13   8.6837e+12 -31027.27 -11130.07 -19246.83   -0.0011492    0.26150568    -6.2186    -0.0000        20.00000         4.48830
