#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  I_b_ave_(A)  |VxB0|_(V/m)    V_anode  V_cathode  T_temp_C_(ohm)  T_resist_(ohm)
      0.000000000    0.0149155   6943.246      0.000      0.000     -0.000   3797.875   6578.112   0.005000000    60.0000000      6978.1363       0.00000       0.00000    0.0000000   8.28717e+11     8.5407e-13   2.9292e+13  -7205.42   3067.49  23034.94    0.0265785    0.07684526     3.8410     0.0000       257.34305      1159.52026
      0.006944444    0.7084691   5508.089   2119.411   3671.114  -4609.566   3013.486   5219.845   0.004977660    60.0014681      6977.9785     359.97494       0.00019   37.6065776   2.50954e+11     4.1919e-13   1.4630e+13 -34937.40 -15054.12  -2919.50    0.2371046    0.26128518    19.9446     0.0000       253.52403      1142.37937
      0.013888889    0.0000000   1801.341   3365.864   5830.184  -7301.171    995.565   1724.516   0.004977381    60.0014766      6977.9759     359.97220       0.00019   75.0475416   1.72117e+11     1.4738e-13   4.7372e+12 -10388.80 -28943.04 -27039.46    0.0000000    0.29951749     0.0000     0.0000      -122.93869      -547.29701
      0.020833333    0.0000000  -2645.171   3235.468   5604.345  -6996.124  -1411.010  -2444.045   0.004977381    60.0014766      6977.9759     359.97219       0.00019  112.2604011   7.12188e+10     1.0665e-13   3.0822e+12  20095.86 -25446.97 -19929.90    0.0000000    0.27175560     0.0000     0.0000      -125.71980      -559.77945
      0.027777778    0.4639339  -6021.365   1792.401   3104.750  -3866.475  -3228.143  -5591.617   0.004977381    60.0014766      6977.9759     359.97217       0.00019  149.2590589   4.73618e+10     8.2075e-14   2.3856e+12  27670.42  -8760.96  13048.88    0.2739700    0.17492710   327.3010     0.0000      -112.75730      -501.59994
      0.034722222    0.1951827  -6972.640   -373.340   -646.646    804.791  -3738.552  -6475.767   0.004978527    60.0015331      6977.9674     359.96788       0.00018  186.1443959   1.53041e+11     7.4246e-14   2.4209e+12 -16614.05   2089.93  23406.57    0.1029826    0.12062904    19.2654     0.0000       258.29068      1163.77350
      0.041666667    0.2729600  -5120.371  -2388.813  -4137.777   5156.333  -2744.039  -4753.143   0.004978842    60.0015582      6977.9650     359.96907       0.00019  223.0488087   1.73701e+11     1.8375e-13   6.3998e+12 -37482.23 -10793.77 -12273.05    0.0766574    0.27947121     3.7387     0.0000       249.00542      1122.09850
      0.048611111    1.8347884  -1203.003  -3439.525  -5957.801   7445.094   -632.099  -1094.942   0.004978933    60.0015682      6977.9638     359.97069       0.00020  260.1101310   3.64859e+11     4.7427e-13   1.6022e+13  -9718.01 -26995.22 -40545.35    0.4679313    0.36230302     3.1476     0.0000       224.34748      1011.42634
      0.055555556    0.6374109   3200.874  -3091.026  -5354.171   6711.838   1756.247   3042.065   0.004978867    60.0015738      6977.9594     359.97781       0.00018  297.3946420   2.56521e+11     6.7481e-13   2.3261e+13  30864.86 -19422.95 -22674.68    0.1854047    0.29764866     7.9042     0.0000       214.94992       969.24732
      0.062500000    0.0216439   6289.056  -1474.805  -2554.631   3209.496   3440.033   5958.688   0.004978336    60.0016189      6977.9542     359.98365       0.00014  334.8881385   6.58581e+11     1.0002e-12   3.4401e+13  23389.93    210.04  14931.60    0.0290178    0.12370921     3.7629     0.0000       245.02061      1104.21349
